year,ISO_code,Country,region,Overall_Score,Overall_Rank,Overall_Quartile,PF_rol,PF_SS_Homicide,PF_SS_Women,PF_SS,PF_Movement,PF_Religion,PF_Association,PF_Expression,PF_Identity,PF_Score,PF_Rank,EF_Govt,EF_Legal,EF_Money,EF_Trade_Tariffs,EF_Trade_Regulatory,EF_Trade_Black,EF_Trade_Movement,EF_trade,EF_Reg_Credit,EF_Reg_Labor,EF_Reg_Business,EF_Reg,EF_Score,EF_Rank
2016,JPN,Japan,East Asia,8.101885275,31.0,1.0,7.643490078999999,9.886590676,9.166666667000001,9.678364608999999,10.0,8.092592593,7.5,9.19047619,9.25,8.73377055,29.0,4.535267724,7.586986576,9.524658793,7.669777777999999,7.28825604,10.0,5.025321947,7.495838941000001,8.691893199999999,8.099231889,7.799874222000001,8.19699977,7.47,41.0
2016,JOR,Jordan,Middle East & North Africa,6.849333258,75.0,2.0,5.798807684,9.380948921,5.833333333,7.984281664,6.666666667,6.3337037039999995,5.0,6.595238095,3.333333333,6.238666517,111.0,7.586859201,4.756454971,9.618102308,7.105244443999999,5.965925137,10.0,7.245811744,7.579245331,8.720432225,7.674678501,6.92087389,7.7719948720000005,7.46,42.0
2016,KAZ,Kazakhstan,Caucasus & Central Asia,6.742837772000001,90.0,3.0,4.537932016,8.077708357999999,10.0,9.005172166,5.0,5.508888889,4.0,6.140106103,9.25,6.375675545,109.0,7.513578869,5.44835482,8.551346498,7.7755555560000005,5.304186264,10.0,3.012095885,6.522959426,8.529628801,7.212836376,6.8718499070000005,7.5381050279999995,7.11,69.0
2016,KEN,Kenya,Sub-Saharan Africa,6.822768345,82.0,2.0,3.953814707,8.050625664,6.6,7.142406128999999,6.666666667,7.214814815,7.0,8.333333332999999,7.5,6.44553669,102.0,7.821194755,4.913284598,9.21911917,6.7424,5.435535628999999,10.0,4.564243622,6.685544813,8.089669897,7.721985745,6.28179917,7.364484937,7.2,61.0
2016,KOR,"Korea, South",East Asia,8.148174929,27.0,1.0,7.438182909,9.719554326,9.166666667000001,9.462073664,8.333333332999999,9.353333333,9.5,8.976190476000001,9.25,8.766349858,26.0,6.826429472,6.391153586000001,9.609132499,5.595555556,7.475990014,10.0,7.206282075,7.5694569110000005,9.316575511,4.821980601,7.5910270639999995,7.243194392,7.53,35.0
2016,KWT,Kuwait,Middle East & North Africa,6.190287237000001,124.0,4.0,5.222398432,9.260431751,5.833333333,8.189148142999999,5.0,4.645925926,4.0,7.464285714,1.6666666669999999,5.630574473999999,133.0,6.23731806,4.922444725,8.342265723999999,8.778133333,4.447949492,10.0,4.135558249,6.8404102689999995,10.0,6.5768049920000005,5.715470457,7.430758482999999,6.75,90.0
2016,KGZ,Kyrgyz Republic,Caucasus & Central Asia,6.588506477,99.0,3.0,3.807027642,8.20584616,8.333333332999999,7.998438746000001,5.0,7.130555556,,6.234615306,8.0,6.247012954,110.0,7.079276344,4.259098098,9.35947549,8.133244443999999,6.231933207000001,10.0,4.910687214,7.318966216000001,8.456656231,5.582524883,5.882274949,6.640485354,6.93,77.0
2016,LAO,Laos,South Asia,6.386793085,113.0,3.0,3.953482175,7.1960071779999994,8.333333332999999,8.303656158999999,5.0,6.731111111000001,0.5,5.761904762,10.0,5.863586171000001,127.0,7.840112727999999,5.93720088,7.335898762999999,8.198222222,3.5430673880000003,10.0,5.580300225,6.830397458999999,9.126884045,4.8524896989999995,5.790724909,6.590032884,6.91,81.0
2016,LVA,Latvia,Eastern Europe,8.245534042000001,23.0,1.0,6.681684163,8.65506611,10.0,9.551688703,10.0,8.546296296,10.0,9.380952381,10.0,8.851068084,22.0,6.653293105,6.196792987,9.323349907999999,8.266133332999999,8.053665655,10.0,7.080755958999999,8.350138737,8.428403802,7.557666555,6.997222222,7.661097526,7.64,23.0
2016,LBN,Lebanon,Middle East & North Africa,6.70999709,95.0,3.0,4.339724004,8.402759271,6.666666667,7.599723612000001,6.666666667,7.153703704,9.0,8.297619048,3.333333333,6.4299941789999995,104.0,8.668506808,3.954385717,9.694505034,7.826311111,4.146227865,10.0,5.290418498999999,6.815739369,5.0,7.527764013,4.948146976,5.825303663,6.99,74.0
2016,LSO,Lesotho,Sub-Saharan Africa,6.53422198,100.0,3.0,4.888498063,0.0,7.5,5.666666667,10.0,9.230555556,,7.541666667,5.625,6.68844396,93.0,4.882119871,5.4490826420000005,7.838977455,4.7008,6.790448608999999,10.0,3.8521292839999997,6.335844473,9.666666667000001,6.572391971,5.868246902999999,7.3691018470000005,6.38,114.0
2016,LBR,Liberia,Sub-Saharan Africa,6.481700872,106.0,3.0,3.7860124710000003,8.70861685,6.4,8.202872283,6.666666667,9.207777777999999,,7.208333333,4.166666667,6.403401744,105.0,7.3641133739999995,4.186922888,9.362209474,7.138311111,2.276791334,10.0,5.3370461780000005,6.188037156,4.5,6.237877827999999,6.350346657999999,5.696074829,6.56,100.0
2016,LBY,Libya,Middle East & North Africa,4.310282812,158.0,4.0,2.198017505,8.998449247,5.833333333,5.27726086,5.0,6.938888888999999,2.5,4.845238095,0.833333333,3.8805656230000003,159.0,4.75,3.2063388919999998,5.659898222000001,,4.882104635,7.372262774,2.036957142,4.76377485,6.666666667,6.277288221,2.9594591639999996,5.3011380169999995,4.74,161.0
2016,LTU,Lithuania,Eastern Europe,8.340669463,20.0,1.0,6.79590086,7.901253425,10.0,9.300417807999999,10.0,8.472592593,10.0,9.5,10.0,8.821338926000001,24.0,7.233303802000001,6.499517474,9.340337377,8.266133332999999,7.663389812,10.0,6.837310588999999,8.191708434,9.84572855,6.578804159,7.682395934,8.035642881000001,7.86,13.0
2016,LUX,Luxembourg,Western Europe,8.428700911,15.0,1.0,7.897751196000001,9.712393676,10.0,9.904131225,10.0,9.140740741,10.0,9.678571429,9.25,9.257401822,7.0,4.169356156,8.350836767,9.310500088,8.266133332999999,8.35119209,10.0,6.618798442999999,8.309030967,9.333333332999999,6.326613247999999,7.952823067000001,7.8709232160000004,7.6,25.0
2016,MKD,Macedonia,Eastern Europe,7.271829012,56.0,2.0,4.994404463,9.364619409,7.5,8.621539803,6.666666667,8.334814815,8.0,7.845238095,9.25,7.413658024,67.0,6.278313623,5.070281017,8.131423715,8.241866667,7.690579357000001,10.0,5.892386011,7.956208009,9.591333333,7.242333276,7.77167656,8.201781057,7.13,68.0
